uid,qty,unit_cost,order_date,delivery_date,posted_date
MP-PRM-007,73,2.4639,2025-01-06,2025-01-08,2025-01-08
MP-PRM-008,64,3.0447,2025-01-06,2025-01-08,2025-01-08
MP-PRM-009,73,2.1612,2025-01-06,2025-01-08,2025-01-08
PP-CNG-004,343,1.7728,2025-01-06,2025-01-08,2025-01-08
PP-CNG-005,106,1.427,2025-01-06,2025-01-08,2025-01-08
PP-CNG-006,343,1.6502,2025-01-06,2025-01-08,2025-01-08
PP-CNG-007,343,0.9857,2025-01-06,2025-01-08,2025-01-08
PP-PAS-011,85,4.6311,2025-01-06,2025-01-08,2025-01-08
PH-HYG-001,3,7.9592,2025-01-06,2025-01-08,2025-01-08
PH-OTC-010,15,10.3411,2025-01-06,2025-01-08,2025-01-08
PH-OTC-012,19,8.8739,2025-01-06,2025-01-08,2025-01-08
PH-TOI-003,5,9.8167,2025-01-06,2025-01-08,2025-01-08
PH-TOI-012,5,8.9144,2025-01-06,2025-01-08,2025-01-08
PH-VIT-002,1,9.8923,2025-01-06,2025-01-08,2025-01-08
PH-VIT-011,5,11.1499,2025-01-06,2025-01-08,2025-01-08
PH-VIT-012,5,11.1183,2025-01-06,2025-01-08,2025-01-08
PH-WEL-012,19,15.0965,2025-01-06,2025-01-08,2025-01-08
SF-FFF-009,25,2.9854,2025-01-06,2025-01-08,2025-01-08
SF-SHL-009,25,3.3534,2025-01-06,2025-01-08,2025-01-08
SF-SPR-004,26,2.6144,2025-01-06,2025-01-08,2025-01-08
SF-SPR-007,26,2.9506,2025-01-06,2025-01-08,2025-01-08
SF-SPR-008,25,1.4329,2025-01-06,2025-01-08,2025-01-08
SF-SPR-009,24,2.1753,2025-01-06,2025-01-08,2025-01-08
SC-CHO-010,6,6.2117,2025-01-06,2025-01-08,2025-01-08
SC-CHO-012,67,6.0315,2025-01-06,2025-01-08,2025-01-08
SC-COO-002,9,5.9038,2025-01-06,2025-01-08,2025-01-08
AB-SPI-001,7,25.374,2025-01-13,2025-01-15,2025-01-17
AB-SPI-004,19,14.4694,2025-01-13,2025-01-15,2025-01-17
AB-SPI-010,17,25.9239,2025-01-13,2025-01-15,2025-01-17
AB-WIN-002,1,13.9403,2025-01-13,2025-01-15,2025-01-17
AB-WIN-005,5,8.7399,2025-01-13,2025-01-15,2025-01-17
BB-BKG-007,168,1.2818,2025-01-13,2025-01-15,2025-01-17
BB-BKG-008,60,1.3284,2025-01-13,2025-01-15,2025-01-17
BB-BKG-009,167,1.2141,2025-01-13,2025-01-15,2025-01-17
BB-FBR-009,169,1.2287,2025-01-13,2025-01-15,2025-01-17
BB-PAS-007,138,1.4949,2025-01-13,2025-01-15,2025-01-17
BB-PAS-008,170,1.4986,2025-01-13,2025-01-15,2025-01-17
BN-BTW-009,280,0.7796,2025-01-13,2025-01-15,2025-01-17
BN-COF-009,108,1.9154,2025-01-13,2025-01-15,2025-01-17
DE-CRE-007,259,1.242,2025-01-13,2025-01-15,2025-01-17
DE-CRE-009,305,1.203,2025-01-13,2025-01-15,2025-01-17
DE-MIL-007,345,0.9612,2025-01-13,2025-01-15,2025-01-17
DE-MIL-009,356,0.84,2025-01-13,2025-01-15,2025-01-17
DE-YOG-008,101,1.2204,2025-01-13,2025-01-15,2025-01-17
FP-FRU-005,41,1.7852,2025-01-13,2025-01-15,2025-01-17
FP-HER-007,89,1.5193,2025-01-13,2025-01-15,2025-01-17
FP-HER-008,172,1.7784,2025-01-13,2025-01-15,2025-01-17
FP-HER-009,102,1.404,2025-01-13,2025-01-15,2025-01-17
FP-VEG-007,134,1.8196,2025-01-13,2025-01-15,2025-01-17
FP-VEG-008,120,1.7945,2025-01-13,2025-01-15,2025-01-17
FF-DES-009,67,1.778,2025-01-13,2025-01-15,2025-01-17
FF-FVG-007,66,1.3114,2025-01-13,2025-01-15,2025-01-17
FF-FVG-008,67,1.4022,2025-01-13,2025-01-15,2025-01-17
FF-FVG-009,67,1.5314,2025-01-13,2025-01-15,2025-01-17
FF-ICE-008,4,1.827,2025-01-13,2025-01-15,2025-01-17
FF-ICE-009,67,1.7278,2025-01-13,2025-01-15,2025-01-17
HC-CAG-003,4,8.8386,2025-01-13,2025-01-15,2025-01-17
HC-DET-003,3,6.8996,2025-01-13,2025-01-15,2025-01-17
HC-DET-005,6,6.7321,2025-01-13,2025-01-15,2025-01-17
HC-DET-010,3,8.2295,2025-01-13,2025-01-15,2025-01-17
HC-KIT-003,5,9.9153,2025-01-13,2025-01-15,2025-01-17
HC-KIT-010,30,7.9554,2025-01-13,2025-01-15,2025-01-17
HC-PAP-001,8,8.8478,2025-01-13,2025-01-15,2025-01-17
HC-PAP-010,4,10.1396,2025-01-13,2025-01-15,2025-01-17
HC-PAP-011,13,7.5761,2025-01-13,2025-01-15,2025-01-17
MP-CHI-007,62,3.3942,2025-01-13,2025-01-15,2025-01-17
MP-POR-007,41,2.9854,2025-01-13,2025-01-15,2025-01-17
MP-PRM-006,36,3.5765,2025-01-13,2025-01-15,2025-01-17
MP-PRM-007,99,2.5098,2025-01-13,2025-01-15,2025-01-17
MP-PRM-008,2,3.0149,2025-01-13,2025-01-15,2025-01-17
MP-PRM-009,38,2.1035,2025-01-13,2025-01-15,2025-01-17
PP-CNG-004,159,1.7591,2025-01-13,2025-01-15,2025-01-17
PP-CNG-005,42,1.4795,2025-01-13,2025-01-15,2025-01-17
PP-CNG-006,214,1.7148,2025-01-13,2025-01-15,2025-01-17
PP-CNG-007,286,1.0018,2025-01-13,2025-01-15,2025-01-17
PP-OIL-005,9,3.8978,2025-01-13,2025-01-15,2025-01-17
PP-PAS-011,28,4.4837,2025-01-13,2025-01-15,2025-01-17
PH-HYG-001,4,7.792,2025-01-13,2025-01-15,2025-01-17
PH-OTC-010,4,9.9894,2025-01-13,2025-01-15,2025-01-17
PH-OTC-012,24,8.5556,2025-01-13,2025-01-15,2025-01-17
PH-TOI-003,3,10.2624,2025-01-13,2025-01-15,2025-01-17
PH-TOI-012,15,9.3296,2025-01-13,2025-01-15,2025-01-17
PH-VIT-002,6,10.4464,2025-01-13,2025-01-15,2025-01-17
PH-VIT-011,6,11.1279,2025-01-13,2025-01-15,2025-01-17
PH-WEL-003,1,10.1532,2025-01-13,2025-01-15,2025-01-17
PH-WEL-010,9,13.051,2025-01-13,2025-01-15,2025-01-17
PH-WEL-012,21,15.1426,2025-01-13,2025-01-15,2025-01-17
SF-FFF-009,24,2.9837,2025-01-13,2025-01-15,2025-01-17
SF-SHL-009,30,3.2705,2025-01-13,2025-01-15,2025-01-17
SF-SPR-004,31,2.4797,2025-01-13,2025-01-15,2025-01-17
SF-SPR-007,31,3.0636,2025-01-13,2025-01-15,2025-01-17
SF-SPR-008,30,1.4947,2025-01-13,2025-01-15,2025-01-17
SF-SPR-009,29,2.1567,2025-01-13,2025-01-15,2025-01-17
SC-CHO-012,15,6.1278,2025-01-13,2025-01-15,2025-01-17
SC-SAV-003,20,5.5703,2025-01-13,2025-01-15,2025-01-17
AB-SPI-010,1,26.6059,2025-01-20,2025-01-22,2025-01-22
AB-WIN-002,5,13.478,2025-01-20,2025-01-22,2025-01-22
BB-BKG-007,203,1.3071,2025-01-20,2025-01-22,2025-01-22
BB-BKG-008,53,1.3809,2025-01-20,2025-01-22,2025-01-22
BB-BKG-009,205,1.2236,2025-01-20,2025-01-22,2025-01-22
BB-FBR-009,205,1.2785,2025-01-20,2025-01-22,2025-01-22
BB-PAS-007,93,1.3795,2025-01-20,2025-01-22,2025-01-22
BB-PAS-008,207,1.5068,2025-01-20,2025-01-22,2025-01-22
BN-BTW-003,2,1.9997,2025-01-20,2025-01-22,2025-01-22
BN-BTW-009,215,0.7891,2025-01-20,2025-01-22,2025-01-22
BN-COF-009,79,1.9803,2025-01-20,2025-01-22,2025-01-22
BN-JUI-006,2,2.7643,2025-01-20,2025-01-22,2025-01-22
DE-CRE-007,233,1.2669,2025-01-20,2025-01-22,2025-01-22
DE-CRE-009,341,1.1939,2025-01-20,2025-01-22,2025-01-22
DE-MIL-007,420,0.9749,2025-01-20,2025-01-22,2025-01-22
DE-MIL-008,37,0.857,2025-01-20,2025-01-22,2025-01-22
DE-MIL-009,436,0.8534,2025-01-20,2025-01-22,2025-01-22
DE-YOG-008,160,1.2168,2025-01-20,2025-01-22,2025-01-22
FP-FRU-005,37,1.7926,2025-01-20,2025-01-22,2025-01-22
FP-HER-007,50,1.5488,2025-01-20,2025-01-22,2025-01-22
FP-HER-008,221,1.7604,2025-01-20,2025-01-22,2025-01-22
FP-HER-009,174,1.3938,2025-01-20,2025-01-22,2025-01-22
FP-VEG-007,183,1.7463,2025-01-20,2025-01-22,2025-01-22
FP-VEG-008,138,1.6607,2025-01-20,2025-01-22,2025-01-22
FF-DES-009,82,1.8422,2025-01-20,2025-01-22,2025-01-22
FF-FVG-007,81,1.269,2025-01-20,2025-01-22,2025-01-22
FF-FVG-008,82,1.4147,2025-01-20,2025-01-22,2025-01-22
FF-FVG-009,82,1.506,2025-01-20,2025-01-22,2025-01-22
FF-ICE-008,41,1.8188,2025-01-20,2025-01-22,2025-01-22
FF-ICE-009,82,1.6804,2025-01-20,2025-01-22,2025-01-22
HC-CAG-012,3,8.6405,2025-01-20,2025-01-22,2025-01-22
HC-DET-003,1,6.9874,2025-01-20,2025-01-22,2025-01-22
HC-DET-005,2,6.5997,2025-01-20,2025-01-22,2025-01-22
HC-DET-010,3,8.154,2025-01-20,2025-01-22,2025-01-22
HC-KIT-003,1,10.1956,2025-01-20,2025-01-22,2025-01-22
HC-KIT-010,2,8.052,2025-01-20,2025-01-22,2025-01-22
HC-PAP-010,2,10.0337,2025-01-20,2025-01-22,2025-01-22
HC-PAP-011,10,7.826,2025-01-20,2025-01-22,2025-01-22
MP-CHI-007,68,3.6386,2025-01-20,2025-01-22,2025-01-22
MP-POR-007,17,2.9974,2025-01-20,2025-01-22,2025-01-22
MP-PRM-006,59,3.5887,2025-01-20,2025-01-22,2025-01-22
MP-PRM-007,120,2.4925,2025-01-20,2025-01-22,2025-01-22
MP-PRM-008,25,3.0439,2025-01-20,2025-01-22,2025-01-22
MP-PRM-009,82,2.1803,2025-01-20,2025-01-22,2025-01-22
PP-CNG-004,227,1.7993,2025-01-20,2025-01-22,2025-01-22
PP-CNG-005,45,1.5643,2025-01-20,2025-01-22,2025-01-22
PP-CNG-006,200,1.7572,2025-01-20,2025-01-22,2025-01-22
PP-CNG-007,313,1.0378,2025-01-20,2025-01-22,2025-01-22
PP-OIL-005,27,3.9976,2025-01-20,2025-01-22,2025-01-22
PP-PAS-011,39,4.6427,2025-01-20,2025-01-22,2025-01-22
PH-HYG-001,2,8.4145,2025-01-20,2025-01-22,2025-01-22
PH-OTC-010,6,10.0161,2025-01-20,2025-01-22,2025-01-22
PH-OTC-012,6,8.7236,2025-01-20,2025-01-22,2025-01-22
PH-TOI-003,3,9.9959,2025-01-20,2025-01-22,2025-01-22
PH-TOI-012,6,8.9735,2025-01-20,2025-01-22,2025-01-22
PH-VIT-002,2,10.2116,2025-01-20,2025-01-22,2025-01-22
PH-VIT-011,3,11.9416,2025-01-20,2025-01-22,2025-01-22
PH-WEL-003,3,9.8711,2025-01-20,2025-01-22,2025-01-22
PH-WEL-010,3,13.0643,2025-01-20,2025-01-22,2025-01-22
PH-WEL-011,3,11.1012,2025-01-20,2025-01-22,2025-01-22
PH-WEL-012,20,14.8642,2025-01-20,2025-01-22,2025-01-22
SF-FFF-009,25,2.932,2025-01-20,2025-01-22,2025-01-22
SF-SHL-009,36,3.2608,2025-01-20,2025-01-22,2025-01-22
SF-SPR-004,38,2.5284,2025-01-20,2025-01-22,2025-01-22
SF-SPR-007,37,3.0139,2025-01-20,2025-01-22,2025-01-22
SF-SPR-008,37,1.4756,2025-01-20,2025-01-22,2025-01-22
SF-SPR-009,35,2.15,2025-01-20,2025-01-22,2025-01-22
SC-CAN-012,3,6.1604,2025-01-20,2025-01-22,2025-01-22
SC-CHO-012,13,5.817,2025-01-20,2025-01-22,2025-01-22
SC-COO-002,6,6.031,2025-01-20,2025-01-22,2025-01-22
SC-NUT-003,8,6.3964,2025-01-20,2025-01-22,2025-01-22
AB-WIN-002,3,13.9509,2025-01-27,2025-01-29,2025-01-29
AB-WIN-005,2,8.3778,2025-01-27,2025-01-29,2025-01-29
BB-BKG-007,161,1.3148,2025-01-27,2025-01-29,2025-01-29
BB-BKG-008,34,1.3838,2025-01-27,2025-01-29,2025-01-29
BB-BKG-009,202,1.2083,2025-01-27,2025-01-29,2025-01-29
BB-FBR-009,234,1.3637,2025-01-27,2025-01-29,2025-01-29
BB-PAS-007,130,1.4044,2025-01-27,2025-01-29,2025-01-29
BB-PAS-008,226,1.5437,2025-01-27,2025-01-29,2025-01-29
BN-BTW-003,12,2.0542,2025-01-27,2025-01-29,2025-01-29
BN-BTW-009,234,0.7905,2025-01-27,2025-01-29,2025-01-29
BN-COF-009,47,2.0652,2025-01-27,2025-01-29,2025-01-29
DE-CRE-007,151,1.2617,2025-01-27,2025-01-29,2025-01-29
DE-CRE-009,208,1.1609,2025-01-27,2025-01-29,2025-01-29
DE-MIL-007,494,0.9619,2025-01-27,2025-01-29,2025-01-29
DE-MIL-008,27,0.8659,2025-01-27,2025-01-29,2025-01-29
DE-MIL-009,515,0.8916,2025-01-27,2025-01-29,2025-01-29
DE-YOG-008,124,1.2129,2025-01-27,2025-01-29,2025-01-30
FP-FRU-005,30,1.8612,2025-01-27,2025-01-29,2025-01-29
FP-HER-007,54,1.4565,2025-01-27,2025-01-29,2025-01-29
FP-HER-008,182,1.7823,2025-01-27,2025-01-29,2025-01-29
FP-HER-009,147,1.3869,2025-01-27,2025-01-29,2025-01-29
FP-VEG-007,87,1.8691,2025-01-27,2025-01-29,2025-01-29
FP-VEG-008,143,1.6417,2025-01-27,2025-01-29,2025-01-29
FF-DES-009,58,1.7906,2025-01-27,2025-01-29,2025-01-29
FF-FVG-007,97,1.3338,2025-01-27,2025-01-29,2025-01-29
FF-FVG-008,99,1.3841,2025-01-27,2025-01-29,2025-01-29
FF-FVG-009,84,1.5152,2025-01-27,2025-01-29,2025-01-30
FF-ICE-008,20,1.8077,2025-01-27,2025-01-29,2025-01-29
FF-ICE-009,74,1.7115,2025-01-27,2025-01-29,2025-01-29
HC-CAG-003,1,8.9428,2025-01-27,2025-01-29,2025-01-29
HC-KIT-003,2,9.9846,2025-01-27,2025-01-29,2025-01-29
HC-KIT-010,1,7.4849,2025-01-27,2025-01-29,2025-01-29
HC-PAP-010,2,10.2919,2025-01-27,2025-01-29,2025-01-29
HC-PAP-011,1,7.2884,2025-01-27,2025-01-29,2025-01-29
MP-CHI-007,76,3.3257,2025-01-27,2025-01-29,2025-01-29
MP-POR-007,58,3.0777,2025-01-27,2025-01-29,2025-01-29
MP-PRM-006,39,3.4653,2025-01-27,2025-01-29,2025-01-29
MP-PRM-007,139,2.4776,2025-01-27,2025-01-29,2025-01-29
MP-PRM-008,28,2.9043,2025-01-27,2025-01-29,2025-01-29
MP-PRM-009,27,2.1098,2025-01-27,2025-01-29,2025-01-29
PP-CNG-004,232,1.8308,2025-01-27,2025-01-29,2025-01-29
PP-CNG-005,41,1.4765,2025-01-27,2025-01-29,2025-01-29
PP-CNG-006,130,1.6862,2025-01-27,2025-01-29,2025-01-29
PP-CNG-007,286,1.004,2025-01-27,2025-01-29,2025-01-29
PP-OIL-005,62,3.8469,2025-01-27,2025-01-29,2025-01-29
PP-PAS-011,48,4.4297,2025-01-27,2025-01-29,2025-01-29
PH-HYG-001,3,7.9167,2025-01-27,2025-01-29,2025-01-29
PH-OTC-002,1,8.3429,2025-01-27,2025-01-29,2025-01-29
PH-OTC-010,5,10.3699,2025-01-27,2025-01-29,2025-01-29
PH-OTC-012,4,8.7179,2025-01-27,2025-01-29,2025-01-29
PH-TOI-003,4,10.1441,2025-01-27,2025-01-29,2025-01-29
PH-TOI-012,4,8.791,2025-01-27,2025-01-29,2025-01-29
PH-VIT-012,2,11.3399,2025-01-27,2025-01-29,2025-01-29
PH-WEL-002,1,11.5907,2025-01-27,2025-01-29,2025-01-29
PH-WEL-011,2,10.7308,2025-01-27,2025-01-29,2025-01-29
PH-WEL-012,18,14.8031,2025-01-27,2025-01-29,2025-01-29
SF-FFF-009,22,2.986,2025-01-27,2025-01-29,2025-01-29
SF-SHL-009,24,3.3914,2025-01-27,2025-01-29,2025-01-29
SF-SPR-004,45,2.5928,2025-01-27,2025-01-29,2025-01-29
SF-SPR-007,44,2.9509,2025-01-27,2025-01-29,2025-01-29
SF-SPR-008,27,1.4865,2025-01-27,2025-01-29,2025-01-29
SF-SPR-009,42,2.1685,2025-01-27,2025-01-29,2025-01-29
SC-CAN-012,4,6.1107,2025-01-27,2025-01-29,2025-01-29
SC-CHO-010,5,6.6159,2025-01-27,2025-01-29,2025-01-29
SC-CHO-012,31,5.7941,2025-01-27,2025-01-29,2025-01-29
SC-COO-002,2,6.1383,2025-01-27,2025-01-29,2025-01-29
SC-NUT-003,1,6.2999,2025-01-27,2025-01-29,2025-01-29
SC-SAV-003,3,5.5931,2025-01-27,2025-01-29,2025-01-29
AB-SPI-010,4,28.352,2025-02-03,2025-02-05,2025-02-05
BB-BKG-007,248,1.2927,2025-02-03,2025-02-05,2025-02-05
BB-BKG-008,17,1.3916,2025-02-03,2025-02-05,2025-02-05
BB-BKG-009,265,1.1688,2025-02-03,2025-02-05,2025-02-05
BB-FBR-009,226,1.3097,2025-02-03,2025-02-05,2025-02-05
BB-PAS-007,92,1.3517,2025-02-03,2025-02-05,2025-02-05
BB-PAS-008,248,1.5217,2025-02-03,2025-02-05,2025-02-05
BN-BTW-003,49,2.0145,2025-02-03,2025-02-05,2025-02-05
BN-BTW-009,278,0.8082,2025-02-03,2025-02-05,2025-02-05
BN-COF-004,6,4.4345,2025-02-03,2025-02-05,2025-02-05
BN-COF-009,49,1.9505,2025-02-03,2025-02-05,2025-02-05
BN-JUI-006,12,2.779,2025-02-03,2025-02-05,2025-02-05
DE-CRE-007,157,1.2731,2025-02-03,2025-02-05,2025-02-05
DE-CRE-009,179,1.1965,2025-02-03,2025-02-05,2025-02-05
DE-MIL-007,593,1.028,2025-02-03,2025-02-05,2025-02-05
DE-MIL-008,45,0.8919,2025-02-03,2025-02-05,2025-02-05
DE-MIL-009,618,0.8769,2025-02-03,2025-02-05,2025-02-05
DE-YOG-008,95,1.23,2025-02-03,2025-02-05,2025-02-05
FP-FRU-005,51,1.9078,2025-02-03,2025-02-05,2025-02-05
FP-HER-007,79,1.4864,2025-02-03,2025-02-05,2025-02-05
FP-HER-008,210,1.7829,2025-02-03,2025-02-05,2025-02-05
FP-HER-009,175,1.3563,2025-02-03,2025-02-05,2025-02-05
FP-VEG-007,116,1.7897,2025-02-03,2025-02-05,2025-02-05
FP-VEG-008,113,1.6536,2025-02-03,2025-02-05,2025-02-05
FF-DES-009,37,1.7882,2025-02-03,2025-02-05,2025-02-05
FF-FVG-007,74,1.2686,2025-02-03,2025-02-05,2025-02-05
FF-FVG-008,117,1.4486,2025-02-03,2025-02-05,2025-02-05
FF-FVG-009,103,1.5086,2025-02-03,2025-02-05,2025-02-05
FF-ICE-008,29,1.8477,2025-02-03,2025-02-05,2025-02-05
FF-ICE-009,93,1.7226,2025-02-03,2025-02-05,2025-02-05
HC-CAG-003,1,9.0254,2025-02-03,2025-02-05,2025-02-05
HC-CAG-011,1,7.8548,2025-02-03,2025-02-05,2025-02-07
HC-DET-003,1,7.2233,2025-02-03,2025-02-05,2025-02-05
HC-DET-010,7,7.9742,2025-02-03,2025-02-05,2025-02-05
HC-PAP-001,2,8.8962,2025-02-03,2025-02-05,2025-02-05
MP-CHI-007,71,3.513,2025-02-03,2025-02-05,2025-02-05
MP-POR-007,42,3.1601,2025-02-03,2025-02-05,2025-02-05
MP-PRM-006,24,3.4743,2025-02-03,2025-02-05,2025-02-05
MP-PRM-007,165,2.5244,2025-02-03,2025-02-05,2025-02-05
MP-PRM-008,10,2.9822,2025-02-03,2025-02-05,2025-02-05
MP-PRM-009,40,2.179,2025-02-03,2025-02-05,2025-02-05
PP-CNG-004,195,1.7442,2025-02-03,2025-02-05,2025-02-05
PP-CNG-005,34,1.5359,2025-02-03,2025-02-05,2025-02-05
PP-CNG-006,210,1.7138,2025-02-03,2025-02-05,2025-02-05
PP-CNG-007,369,0.9589,2025-02-03,2025-02-05,2025-02-05
PP-OIL-005,56,3.9949,2025-02-03,2025-02-05,2025-02-05
PP-PAS-011,73,4.3928,2025-02-03,2025-02-05,2025-02-05
PH-OTC-002,2,8.4594,2025-02-03,2025-02-05,2025-02-05
PH-OTC-010,3,10.3675,2025-02-03,2025-02-05,2025-02-05
PH-OTC-012,4,8.9892,2025-02-03,2025-02-05,2025-02-05
PH-TOI-003,5,9.8452,2025-02-03,2025-02-05,2025-02-05
PH-TOI-012,3,9.2156,2025-02-03,2025-02-05,2025-02-05
PH-VIT-002,1,10.0721,2025-02-03,2025-02-05,2025-02-05
PH-WEL-002,4,11.882,2025-02-03,2025-02-05,2025-02-05
PH-WEL-011,4,10.7292,2025-02-03,2025-02-05,2025-02-05
PH-WEL-012,14,15.1152,2025-02-03,2025-02-05,2025-02-05
SF-FFF-009,20,2.9063,2025-02-03,2025-02-05,2025-02-05
SF-SHL-009,26,3.2495,2025-02-03,2025-02-05,2025-02-05
SF-SPR-004,53,2.539,2025-02-03,2025-02-05,2025-02-05
SF-SPR-007,52,3.0451,2025-02-03,2025-02-05,2025-02-07
SF-SPR-008,42,1.4534,2025-02-03,2025-02-05,2025-02-05
SF-SPR-009,50,2.066,2025-02-03,2025-02-05,2025-02-05
SC-CAN-002,6,6.9001,2025-02-03,2025-02-05,2025-02-05
SC-CAN-012,11,6.2917,2025-02-03,2025-02-05,2025-02-05
SC-CHO-010,6,6.3281,2025-02-03,2025-02-05,2025-02-05
SC-CHO-012,18,5.7706,2025-02-03,2025-02-05,2025-02-05
SC-COO-002,5,5.7842,2025-02-03,2025-02-05,2025-02-05
SC-COO-003,10,5.6563,2025-02-03,2025-02-05,2025-02-05
SC-NUT-003,7,6.1857,2025-02-03,2025-02-05,2025-02-05
SC-NUT-010,3,6.909,2025-02-03,2025-02-05,2025-02-05
SC-SAV-003,10,5.9069,2025-02-03,2025-02-05,2025-02-05
AB-WIN-005,2,8.5664,2025-02-10,2025-02-12,2025-02-15
BB-BKG-007,117,1.2522,2025-02-10,2025-02-12,2025-02-15
BB-BKG-009,223,1.1814,2025-02-10,2025-02-12,2025-02-15
BB-FBR-009,158,1.2794,2025-02-10,2025-02-12,2025-02-15
BB-PAS-007,49,1.4018,2025-02-10,2025-02-12,2025-02-15
BB-PAS-008,219,1.4805,2025-02-10,2025-02-12,2025-02-15
BN-BTW-003,16,1.9472,2025-02-10,2025-02-12,2025-02-15
BN-BTW-009,182,0.7797,2025-02-10,2025-02-12,2025-02-15
BN-COF-004,25,4.5441,2025-02-10,2025-02-12,2025-02-15
BN-COF-009,25,1.9909,2025-02-10,2025-02-12,2025-02-15
BN-JUI-006,8,2.9321,2025-02-10,2025-02-12,2025-02-15
DE-CRE-007,42,1.3269,2025-02-10,2025-02-12,2025-02-15
DE-CRE-009,25,1.1762,2025-02-10,2025-02-12,2025-02-15
DE-MIL-007,501,0.9958,2025-02-10,2025-02-12,2025-02-15
DE-MIL-008,9,0.8807,2025-02-10,2025-02-12,2025-02-15
DE-MIL-009,572,0.8311,2025-02-10,2025-02-12,2025-02-15
DE-YOG-008,59,1.2102,2025-02-10,2025-02-12,2025-02-15
FP-FRU-005,38,1.8244,2025-02-10,2025-02-12,2025-02-15
FP-HER-007,59,1.4647,2025-02-10,2025-02-12,2025-02-15
FP-HER-008,196,1.6916,2025-02-10,2025-02-12,2025-02-15
FP-HER-009,126,1.4183,2025-02-10,2025-02-12,2025-02-15
FP-VEG-007,71,1.814,2025-02-10,2025-02-12,2025-02-15
FP-VEG-008,69,1.6944,2025-02-10,2025-02-12,2025-02-15
FF-DES-009,18,1.85,2025-02-10,2025-02-12,2025-02-15
FF-FVG-007,72,1.309,2025-02-10,2025-02-12,2025-02-15
FF-FVG-008,130,1.4335,2025-02-10,2025-02-12,2025-02-15
FF-FVG-009,68,1.4821,2025-02-10,2025-02-12,2025-02-15
FF-ICE-008,16,1.7059,2025-02-10,2025-02-12,2025-02-15
FF-ICE-009,86,1.7544,2025-02-10,2025-02-12,2025-02-17
HC-CAG-003,1,8.8491,2025-02-10,2025-02-12,2025-02-15
HC-CAG-011,3,7.8187,2025-02-10,2025-02-12,2025-02-15
