uid,price,date
FP-VEG-007,2.0900000000000003,2025-02-19
PP-CNG-005,1.99,2025-02-19
SF-SPR-008,1.89,2025-02-19
DE-YOG-008,1.39,2025-02-26
FP-HER-009,1.59,2025-02-26
MP-PRM-007,2.99,2025-02-26
SF-SPR-004,3.1900000000000004,2025-02-26
SF-SPR-009,2.5900000000000003,2025-02-26
DE-YOG-008,1.49,2025-03-05
FP-FRU-005,2.0900000000000003,2025-03-05
FP-HER-009,1.69,2025-03-05
FF-FVG-007,1.59,2025-03-05
PH-OTC-012,12.790000000000001,2025-03-05
SF-SPR-004,3.0900000000000003,2025-03-05
SF-SPR-009,2.6900000000000004,2025-03-05
AB-SPI-001,34.29,2025-03-12
AB-SPI-006,21.389999999999997,2025-03-12
AB-SPI-008,15.09,2025-03-12
AB-SPI-009,12.39,2025-03-12
AB-SPI-010,37.190000000000005,2025-03-12
AB-WIN-002,18.389999999999997,2025-03-12
AB-WIN-005,11.649999999999999,2025-03-12
FP-FRU-005,2.1900000000000004,2025-03-12
FP-VEG-007,2.1900000000000004,2025-03-12
FP-VEG-008,2.0900000000000003,2025-03-12
HC-KIT-011,12.69,2025-03-12
MP-CHI-007,4.5,2025-03-12
MP-PRM-007,3.0900000000000003,2025-03-12
SF-FFF-009,3.89,2025-03-12
SF-SPR-004,3.1900000000000004,2025-03-12
SF-SPR-007,3.89,2025-03-12
SF-SPR-009,2.79,2025-03-12
AB-SPI-001,35.49,2025-03-19
AB-SPI-004,21.389999999999997,2025-03-19
AB-SPI-006,22.59,2025-03-19
AB-SPI-007,14.6,2025-03-19
AB-SPI-008,15.89,2025-03-19
AB-SPI-009,12.99,2025-03-19
AB-SPI-010,39.190000000000005,2025-03-19
AB-WIN-002,19.689999999999998,2025-03-19
AB-WIN-004,11.39,2025-03-19
AB-WIN-005,12.25,2025-03-19
BB-BKG-009,1.49,2025-03-19
BN-COF-004,5.99,2025-03-19
FP-HER-008,2.1900000000000004,2025-03-19
FP-VEG-007,2.0900000000000003,2025-03-19
FP-VEG-008,1.99,2025-03-19
PH-TOI-012,13.19,2025-03-19
SF-FFF-009,4.09,2025-03-19
SF-SHL-009,4.49,2025-03-19
SF-SPR-004,3.49,2025-03-19
SF-SPR-008,1.99,2025-03-19
SF-SPR-009,2.89,2025-03-19
AB-SPI-001,36.59,2025-03-26
AB-SPI-004,22.29,2025-03-26
AB-SPI-008,16.49,2025-03-26
AB-SPI-009,13.39,2025-03-26
AB-WIN-001,20.9,2025-03-26
AB-WIN-012,19.5,2025-03-26
FP-VEG-007,2.1900000000000004,2025-03-26
HC-PAP-010,14.99,2025-03-26
PP-CNG-005,1.89,2025-03-26
PP-CNG-006,2.29,2025-03-26
PP-PAS-011,5.99,2025-03-26
SF-SHL-009,4.69,2025-03-26
SF-SPR-007,4.09,2025-03-26
SF-SPR-008,2.0900000000000003,2025-03-26
SF-SPR-009,2.99,2025-03-26
AB-SPI-006,23.49,2025-04-02
AB-WIN-002,20.389999999999997,2025-04-02
AB-WIN-004,11.89,2025-04-02
AB-WIN-012,20.3,2025-04-02
BB-BKG-009,1.39,2025-04-02
PP-CNG-006,2.1900000000000004,2025-04-02
SF-SPR-009,3.0900000000000003,2025-04-02
AB-SPI-007,15.1,2025-04-09
AB-SPI-010,40.690000000000005,2025-04-09
BN-BTW-009,1.09,2025-04-09
DE-MIL-009,1.09,2025-04-09
SF-FFF-009,4.29,2025-04-09
SF-SPR-009,3.1900000000000004,2025-04-09
SC-NUT-003,8.09,2025-04-09
BB-BKG-009,1.49,2025-04-16
BB-FBR-009,1.49,2025-04-16
PP-PAS-011,5.79,2025-04-16
SF-SPR-009,3.0900000000000003,2025-04-16
AB-SPI-012,47.89,2025-04-23
AB-WIN-001,21.6,2025-04-23
BB-BKG-009,1.39,2025-04-23
BN-BTW-009,0.99,2025-04-23
DE-MIL-007,1.29,2025-04-23
DE-MIL-009,0.99,2025-04-23
MP-CHI-007,4.3,2025-04-23
PH-TOI-012,12.790000000000001,2025-04-23
BB-BKG-009,1.49,2025-04-30
DE-CRE-009,1.39,2025-04-30
DE-MIL-007,1.19,2025-04-30
FP-FRU-005,2.0900000000000003,2025-04-30
PP-CNG-005,1.99,2025-04-30
AB-SPI-004,21.49,2025-05-07
AB-SPI-006,22.689999999999998,2025-05-07
AB-SPI-007,14.6,2025-05-07
AB-SPI-012,49.690000000000005,2025-05-07
BB-BKG-009,1.39,2025-05-07
BN-COF-004,5.79,2025-05-07
DE-MIL-009,1.09,2025-05-07
HC-CAG-012,12.69,2025-05-07
HC-DET-003,10.49,2025-05-07
HC-DET-005,9.69,2025-05-07
MP-POR-007,3.89,2025-05-07
PP-CNG-006,2.29,2025-05-07
SF-FFF-009,4.09,2025-05-07
SF-SPR-008,1.99,2025-05-07
SF-SPR-009,2.99,2025-05-07
SC-CHO-002,9.69,2025-05-07
AB-SPI-008,15.99,2025-05-14
AB-WIN-002,19.689999999999998,2025-05-14
AB-WIN-004,11.39,2025-05-14
BB-BKG-009,1.49,2025-05-14
BB-FBR-009,1.59,2025-05-14
BN-COF-009,2.6500000000000004,2025-05-14
DE-CRE-009,1.49,2025-05-14
DE-YOG-008,1.39,2025-05-14
FP-FRU-005,2.1900000000000004,2025-05-14
FP-VEG-008,2.0900000000000003,2025-05-14
FF-FVG-007,1.69,2025-05-14
HC-PAP-010,14.49,2025-05-14
PP-PAS-011,5.99,2025-05-14
SF-SHL-009,4.49,2025-05-14
SF-SPR-004,3.29,2025-05-14
SC-CAN-002,9.69,2025-05-14
AB-SPI-009,12.790000000000001,2025-05-21
AB-SPI-010,39.09,2025-05-21
BN-COF-009,2.5500000000000003,2025-05-21
DE-YOG-008,1.49,2025-05-21
HC-CAG-011,11.99,2025-05-21
HC-DET-005,9.39,2025-05-21
PP-CNG-006,2.1900000000000004,2025-05-21
PP-OIL-005,5.390000000000001,2025-05-21
PH-WEL-002,15.69,2025-05-21
PH-WEL-010,18.99,2025-05-21
AB-SPI-007,14.0,2025-05-28
FP-FRU-005,2.0900000000000003,2025-05-28
PP-CNG-004,2.39,2025-05-28
PH-VIT-011,16.79,2025-05-28
AB-SPI-001,34.99,2025-06-04
AB-SPI-006,21.889999999999997,2025-06-04
AB-SPI-008,15.49,2025-06-04
DE-MIL-009,0.99,2025-06-04
FP-FRU-005,2.1900000000000004,2025-06-04
FF-ICE-009,2.0900000000000003,2025-06-04
SF-SHL-009,4.29,2025-06-04
SF-SPR-009,2.89,2025-06-04
AB-WIN-002,19.09,2025-06-11
AB-WIN-005,11.85,2025-06-11
BN-BTW-003,2.6900000000000004,2025-06-11
DE-CRE-009,1.39,2025-06-11
PP-CNG-005,1.89,2025-06-11
PP-OIL-005,5.19,2025-06-11
SF-FFF-009,3.89,2025-06-11
SF-SPR-004,3.1900000000000004,2025-06-11
AB-SPI-006,22.79,2025-06-18
AB-SPI-007,14.7,2025-06-18
AB-SPI-010,40.59,2025-06-18
AB-WIN-005,12.25,2025-06-18
BB-PAS-008,1.89,2025-06-18
BN-BTW-003,2.5900000000000003,2025-06-18
FP-FRU-005,2.0900000000000003,2025-06-18
FF-ICE-009,2.1900000000000004,2025-06-18
PP-CNG-005,1.99,2025-06-18
PH-WEL-002,16.389999999999997,2025-06-18
PH-WEL-010,18.389999999999997,2025-06-18
SF-SHL-009,4.49,2025-06-18
SF-SPR-004,3.29,2025-06-18
SF-SPR-009,2.99,2025-06-18
SC-SAV-010,8.35,2025-06-18
AB-SPI-001,37.690000000000005,2025-06-25
AB-SPI-004,22.79,2025-06-25
AB-SPI-006,23.79,2025-06-25
AB-SPI-007,15.4,2025-06-25
AB-SPI-008,16.29,2025-06-25
AB-SPI-009,13.790000000000001,2025-06-25
AB-SPI-010,42.39,2025-06-25
AB-SPI-012,52.79,2025-06-25
AB-WIN-001,22.4,2025-06-25
AB-WIN-002,20.59,2025-06-25
AB-WIN-004,12.290000000000001,2025-06-25
AB-WIN-005,12.649999999999999,2025-06-25
AB-WIN-012,21.4,2025-06-25
DE-CRE-009,1.49,2025-06-25
FP-VEG-008,1.99,2025-06-25
FF-FVG-007,1.59,2025-06-25
MP-PRM-007,3.1900000000000004,2025-06-25
SF-FFF-009,4.29,2025-06-25
SF-SHL-009,4.69,2025-06-25
SF-SPR-004,3.49,2025-06-25
SF-SPR-007,4.29,2025-06-25
SF-SPR-008,2.0900000000000003,2025-06-25
SF-SPR-009,3.0900000000000003,2025-06-25
SC-COO-003,8.09,2025-06-25
SC-NUT-003,8.39,2025-06-25
AB-SPI-001,39.09,2025-07-02
AB-SPI-004,23.49,2025-07-02
AB-SPI-012,54.49,2025-07-02
AB-WIN-002,21.29,2025-07-02
AB-WIN-003,24.09,2025-07-02
AB-WIN-005,13.149999999999999,2025-07-02
AB-WIN-012,22.1,2025-07-02
BB-BKG-008,1.79,2025-07-02
BB-PAS-007,1.79,2025-07-02
BN-BTW-009,1.09,2025-07-02
DE-MIL-009,1.09,2025-07-02
FF-FVG-007,1.69,2025-07-02
FF-ICE-008,2.39,2025-07-02
MP-PRM-007,3.0900000000000003,2025-07-02
PP-CNG-004,2.49,2025-07-02
PP-CNG-005,2.0900000000000003,2025-07-02
PP-CNG-006,2.29,2025-07-02
PP-OIL-005,5.390000000000001,2025-07-02
PP-PAS-011,6.19,2025-07-02
PH-TOI-003,14.69,2025-07-02
SF-SPR-004,3.6900000000000004,2025-07-02
SF-SPR-008,2.1900000000000004,2025-07-02
SF-SPR-009,3.1900000000000004,2025-07-02
AB-SPI-007,16.0,2025-07-09
AB-SPI-008,17.189999999999998,2025-07-09
AB-SPI-009,14.49,2025-07-09
AB-WIN-001,23.4,2025-07-09
AB-WIN-003,24.99,2025-07-09
BB-BKG-007,1.69,2025-07-09
BB-BKG-008,1.89,2025-07-09
BB-BKG-009,1.59,2025-07-09
BB-FBR-009,1.69,2025-07-09
BB-PAS-007,1.89,2025-07-09
BB-PAS-008,1.99,2025-07-09
BN-COF-009,2.6500000000000004,2025-07-09
FP-FRU-005,2.1900000000000004,2025-07-09
FP-VEG-008,2.0900000000000003,2025-07-09
FF-ICE-008,2.29,2025-07-09
HC-PAP-001,13.39,2025-07-09
PP-CNG-004,2.5900000000000003,2025-07-09
PP-CNG-006,2.39,2025-07-09
PP-CNG-007,1.39,2025-07-09
PP-OIL-005,5.59,2025-07-09
PP-PAS-011,6.390000000000001,2025-07-09
SF-FFF-009,4.49,2025-07-09
SF-SHL-009,4.890000000000001,2025-07-09
SC-CAN-002,9.39,2025-07-09
SC-CAN-011,8.39,2025-07-09
SC-CHO-011,10.49,2025-07-09
SC-NUT-010,9.69,2025-07-09
SC-SAV-010,8.049999999999999,2025-07-09
AB-WIN-003,25.79,2025-07-16
BB-FBR-009,1.79,2025-07-16
BB-PAS-008,2.0900000000000003,2025-07-16
BN-COF-009,2.5500000000000003,2025-07-16
FP-VEG-007,2.0900000000000003,2025-07-16
HC-CAG-011,11.59,2025-07-16
HC-DET-011,17.99,2025-07-16
PP-CNG-005,2.1900000000000004,2025-07-16
PP-CNG-006,2.49,2025-07-16
PP-OIL-005,5.79,2025-07-16
PH-VIT-002,14.649999999999999,2025-07-16
PH-WEL-003,14.649999999999999,2025-07-16
PH-WEL-012,22.09,2025-07-16
SC-NUT-003,7.99,2025-07-16
AB-WIN-011,22.29,2025-07-23
BB-BKG-007,1.79,2025-07-23
BB-BKG-009,1.69,2025-07-23
BN-BTW-009,0.99,2025-07-23
BN-COF-004,5.99,2025-07-23
FP-VEG-007,2.1900000000000004,2025-07-23
FP-VEG-008,1.99,2025-07-23
HC-KIT-003,14.99,2025-07-23
PP-CNG-004,2.6900000000000004,2025-07-23
PP-CNG-007,1.49,2025-07-23
PP-PAS-011,6.59,2025-07-23
SC-COO-010,9.09,2025-07-23
SC-COO-012,8.39,2025-07-23
SC-SAV-003,8.09,2025-07-23
AB-WIN-011,23.09,2025-07-30
HC-DET-010,11.99,2025-07-30
PP-CNG-004,2.5900000000000003,2025-07-30
PH-OTC-002,12.49,2025-07-30
PH-VIT-012,16.189999999999998,2025-07-30
SC-CHO-002,9.39,2025-07-30
AB-SPI-007,15.3,2025-08-06
AB-SPI-008,16.59,2025-08-06
BN-BTW-003,2.6900000000000004,2025-08-06
DE-MIL-009,0.99,2025-08-06
FP-VEG-008,2.0900000000000003,2025-08-06
PP-OIL-005,5.99,2025-08-06
PH-HYG-001,11.69,2025-08-06
SF-SHL-009,4.69,2025-08-06
SF-SPR-008,2.0900000000000003,2025-08-06
SC-CAN-012,8.790000000000001,2025-08-06
AB-SPI-001,37.39,2025-08-13
AB-SPI-004,22.689999999999998,2025-08-13
AB-SPI-009,13.790000000000001,2025-08-13
AB-SPI-010,40.99,2025-08-13
AB-WIN-003,24.99,2025-08-13
AB-WIN-005,12.649999999999999,2025-08-13
AB-WIN-012,21.3,2025-08-13
BB-PAS-008,1.99,2025-08-13
BN-BTW-003,2.5900000000000003,2025-08-13
DE-CRE-009,1.39,2025-08-13
FP-FRU-005,2.0900000000000003,2025-08-13
MP-PRM-007,3.1900000000000004,2025-08-13
MP-PRM-009,2.75,2025-08-13
PP-CNG-007,1.39,2025-08-13
PH-WEL-012,21.29,2025-08-13
SF-FFF-009,4.29,2025-08-13
SF-SPR-004,3.49,2025-08-13
AB-SPI-005,23.59,2025-08-20
AB-SPI-011,41.190000000000005,2025-08-20
AB-WIN-002,20.389999999999997,2025-08-20
AB-WIN-010,18.09,2025-08-20
BB-BKG-007,1.69,2025-08-20
BB-BKG-009,1.59,2025-08-20
DE-CRE-009,1.49,2025-08-20
FP-HER-007,1.89,2025-08-20
HC-CAG-010,14.95,2025-08-20
HC-KIT-003,14.49,2025-08-20
PP-PAS-011,6.79,2025-08-20
PH-OTC-010,14.69,2025-08-20
AB-SPI-005,24.389999999999997,2025-08-27
AB-SPI-006,22.79,2025-08-27
AB-SPI-007,14.7,2025-08-27
AB-SPI-011,42.690000000000005,2025-08-27
AB-WIN-001,22.3,2025-08-27
BB-BKG-008,1.79,2025-08-27
BB-PAS-008,2.0900000000000003,2025-08-27
BN-BTW-003,2.6900000000000004,2025-08-27
FP-FRU-005,2.1900000000000004,2025-08-27
FP-HER-007,1.79,2025-08-27
MP-PRM-006,4.49,2025-08-27
MP-PRM-009,2.6500000000000004,2025-08-27
SF-SPR-009,3.0900000000000003,2025-08-27
SC-COO-003,7.79,2025-08-27
SC-SAV-003,7.79,2025-08-27
AB-WIN-004,11.89,2025-09-03
BB-FBR-009,1.69,2025-09-03
BB-PAS-008,1.99,2025-09-03
FP-FRU-005,2.0900000000000003,2025-09-03
FF-FVG-007,1.59,2025-09-03
HC-DET-012,12.69,2025-09-03
MP-POR-007,3.6900000000000004,2025-09-03
PP-CNG-005,2.0900000000000003,2025-09-03
PP-CNG-006,2.39,2025-09-03
PP-OIL-005,5.79,2025-09-03
PP-PAS-011,6.49,2025-09-03
PH-HYG-012,13.290000000000001,2025-09-03
PH-VIT-002,13.95,2025-09-03
SF-SHL-009,4.49,2025-09-03
SF-SPR-007,4.09,2025-09-03
SC-CHO-002,9.69,2025-09-03
SC-COO-011,8.75,2025-09-03
AB-SPI-001,36.190000000000005,2025-09-10
AB-SPI-009,13.290000000000001,2025-09-10
AB-SPI-010,39.39,2025-09-10
AB-SPI-012,51.89,2025-09-10
AB-WIN-002,19.689999999999998,2025-09-10
AB-WIN-012,20.2,2025-09-10
DE-MIL-009,1.09,2025-09-10
FP-FRU-005,2.1900000000000004,2025-09-10
FF-DES-009,2.39,2025-09-10
HC-DET-003,10.09,2025-09-10
MP-CHI-007,4.5,2025-09-10
MP-PRM-009,2.75,2025-09-10
PP-CNG-004,2.49,2025-09-10
SF-FFF-009,4.09,2025-09-10
SF-SPR-008,1.99,2025-09-10
SC-COO-012,8.09,2025-09-10
AB-SPI-004,21.889999999999997,2025-09-17
AB-SPI-006,21.889999999999997,2025-09-17
AB-WIN-001,21.6,2025-09-17
AB-WIN-005,12.149999999999999,2025-09-17
BB-BKG-008,1.89,2025-09-17
BN-BTW-003,2.5900000000000003,2025-09-17
DE-MIL-009,0.99,2025-09-17
FF-DES-009,2.29,2025-09-17
MP-PRM-009,2.6500000000000004,2025-09-17
SF-SPR-009,2.99,2025-09-17
SC-CAN-011,8.09,2025-09-17
AB-SPI-008,15.99,2025-09-24
AB-WIN-004,11.49,2025-09-24
BB-BKG-008,1.79,2025-09-24
BB-PAS-007,1.79,2025-09-24
BB-PAS-008,1.89,2025-09-24
BN-COF-009,2.6500000000000004,2025-09-24
DE-MIL-009,1.09,2025-09-24
FP-FRU-005,2.0900000000000003,2025-09-24
FP-VEG-008,1.99,2025-09-24
FF-FVG-007,1.69,2025-09-24
FF-ICE-008,2.39,2025-09-24
PP-PAS-011,6.29,2025-09-24
PH-VIT-001,18.99,2025-09-24
SC-NUT-003,8.290000000000001,2025-09-24
AB-SPI-004,21.189999999999998,2025-10-01
AB-SPI-009,12.790000000000001,2025-10-01
AB-SPI-012,49.89,2025-10-01
BN-COF-009,2.5500000000000003,2025-10-01
FP-VEG-008,2.0900000000000003,2025-10-01
MP-PRM-009,2.75,2025-10-01
PP-CNG-005,1.99,2025-10-01
PP-OIL-005,5.49,2025-10-01
SF-SPR-007,3.89,2025-10-01
SF-SPR-009,2.89,2025-10-01
SC-COO-011,8.45,2025-10-01
AB-WIN-003,23.889999999999997,2025-10-08
BB-BKG-009,1.49,2025-10-08
BN-BTW-009,1.09,2025-10-08
DE-MIL-008,1.2,2025-10-08
FP-VEG-008,1.99,2025-10-08
FF-DES-009,2.39,2025-10-08
FF-FVG-009,2.0,2025-10-08
FF-ICE-009,2.29,2025-10-08
HC-DET-012,12.290000000000001,2025-10-08
PP-CNG-006,2.29,2025-10-08
PH-VIT-002,14.45,2025-10-08
SF-SPR-004,3.29,2025-10-08
SC-CAN-012,8.49,2025-10-08
SC-CHO-002,9.39,2025-10-08
SC-CHO-003,8.09,2025-10-08
SC-CHO-010,9.09,2025-10-08
AB-WIN-002,18.99,2025-10-15
AB-WIN-011,22.389999999999997,2025-10-15
AB-WIN-012,19.4,2025-10-15
BN-BTW-009,0.99,2025-10-15
DE-CRE-007,1.69,2025-10-15
DE-MIL-007,1.29,2025-10-15
DE-YOG-008,1.59,2025-10-15
FF-DES-009,2.49,2025-10-15
FF-FVG-007,1.79,2025-10-15
FF-FVG-008,1.89,2025-10-15
FF-FVG-009,2.1,2025-10-15
FF-ICE-008,2.49,2025-10-15
FF-ICE-009,2.39,2025-10-15
MP-PRM-007,3.0900000000000003,2025-10-15
MP-PRM-009,2.6500000000000004,2025-10-15
PP-CNG-004,2.39,2025-10-15
PP-CNG-005,2.0900000000000003,2025-10-15
SC-NUT-003,7.99,2025-10-15
SC-NUT-011,8.09,2025-10-15
SC-SAV-010,8.35,2025-10-15
AB-SPI-008,15.49,2025-10-22
AB-SPI-010,37.89,2025-10-22
BB-BKG-009,1.59,2025-10-22
BN-COF-009,2.6500000000000004,2025-10-22
DE-CRE-009,1.59,2025-10-22
FP-FRU-005,2.1900000000000004,2025-10-22
FP-VEG-008,2.0900000000000003,2025-10-22
FF-DES-009,2.5900000000000003,2025-10-22
HC-CAG-011,11.99,2025-10-22
PP-CNG-005,1.99,2025-10-22
PH-TOI-003,14.19,2025-10-22
PH-WEL-010,19.189999999999998,2025-10-22
SF-FFF-009,3.89,2025-10-22
AB-SPI-001,34.99,2025-10-29
AB-SPI-007,14.1,2025-10-29
AB-SPI-009,12.39,2025-10-29
AB-WIN-001,20.9,2025-10-29
AB-WIN-004,11.09,2025-10-29
BB-BKG-009,1.49,2025-10-29
BN-COF-009,2.5500000000000003,2025-10-29
FF-FVG-008,1.99,2025-10-29
FF-ICE-008,2.5900000000000003,2025-10-29
FF-ICE-009,2.49,2025-10-29
HC-CAG-001,10.49,2025-10-29
HC-DET-012,12.69,2025-10-29
HC-PAP-010,14.99,2025-10-29
MP-CHI-007,4.3,2025-10-29
PH-HYG-003,12.59,2025-10-29
PH-OTC-010,14.19,2025-10-29
PH-OTC-012,13.290000000000001,2025-10-29
PH-VIT-010,20.59,2025-10-29
SC-SAV-003,8.09,2025-10-29
AB-SPI-004,20.389999999999997,2025-11-05
DE-MIL-009,1.19,2025-11-05
FF-FVG-007,1.89,2025-11-05
HC-DET-005,9.69,2025-11-05
HC-DET-010,11.59,2025-11-05
MP-PRM-009,2.75,2025-11-05
PP-OIL-005,5.29,2025-11-05
SF-SPR-008,1.89,2025-11-05
SC-CAN-002,9.69,2025-11-05
SC-CAN-011,8.39,2025-11-05
SC-NUT-002,8.75,2025-11-05
AB-WIN-005,11.75,2025-11-12
FF-FVG-009,2.2,2025-11-12
HC-DET-003,10.49,2025-11-12
MP-CHI-007,4.5,2025-11-12
PH-OTC-002,12.09,2025-11-12
PH-VIT-012,15.69,2025-11-12
SC-CHO-002,9.69,2025-11-12
SC-NUT-003,8.290000000000001,2025-11-12
BB-BKG-007,1.59,2025-11-19
BB-FBR-009,1.59,2025-11-19
HC-CAG-003,13.4,2025-11-19
HC-KIT-003,14.99,2025-11-19
PP-CNG-004,2.49,2025-11-19
PP-CNG-007,1.29,2025-11-19
PP-PAS-011,6.09,2025-11-19
PH-HYG-012,12.89,2025-11-19
SF-SHL-009,4.29,2025-11-19
SF-SPR-008,1.99,2025-11-19
