t,hour,customer_id,category,uid,qty,cause
2,16,80,Pantry Staples and Packaged Goods,,2,outside
2,16,84,Frozen Foods,,2,outside
2,16,84,Pantry Staples and Packaged Goods,,1,outside
2,17,10,Frozen Foods,,2,outside
2,17,37,Personal Care and Health,,1,outside
2,17,50,Seafood,,1,outside
2,17,52,Beverages (Non-Alcoholic),,2,outside
2,17,59,Bakery and Bread,,2,outside
2,17,101,Pantry Staples and Packaged Goods,,4,outside
2,17,101,Fresh Produce,,2,outside
2,17,101,Bakery and Bread,,2,outside
2,17,101,Beverages (Non-Alcoholic),BN-JUI-006,1,budget
2,17,142,Alcoholic Beverages,,1,outside
2,17,233,Alcoholic Beverages,,1,outside
2,17,233,Fresh Produce,,2,outside
2,18,97,Beverages (Non-Alcoholic),BN-BTW-009,1,stockout
2,18,97,Alcoholic Beverages,AB-SPI-009,1,budget
2,18,97,Personal Care and Health,,1,budget
2,18,149,Fresh Produce,FP-HER-008,6,stockout
2,18,232,Bakery and Bread,,2,outside
2,18,232,Fresh Produce,,3,outside
2,18,232,Beverages (Non-Alcoholic),,1,outside
2,18,232,Seafood,,1,outside
2,19,7,Frozen Foods,,1,outside
2,19,7,Pantry Staples and Packaged Goods,,2,outside
2,19,9,Meat and Poultry,,3,outside
2,19,9,Frozen Foods,,4,outside
2,19,9,Beverages (Non-Alcoholic),,2,outside
2,19,9,Pantry Staples and Packaged Goods,,5,outside
2,19,9,Personal Care and Health,PH-OTC-010,1,budget
2,19,9,Household and Cleaning Supplies,,1,budget
2,19,47,Fresh Produce,,5,outside
2,19,47,Household and Cleaning Supplies,HC-DET-011,1,budget
2,19,47,Snacks and Confectionery,,1,budget
2,19,47,Seafood,,1,budget
2,19,47,Personal Care and Health,,1,budget
2,19,58,Pantry Staples and Packaged Goods,,4,outside
2,19,58,Beverages (Non-Alcoholic),,1,outside
2,19,58,Personal Care and Health,PH-TOI-003,1,budget
2,19,58,Seafood,,1,budget
2,19,173,Beverages (Non-Alcoholic),,2,outside
2,19,173,Household and Cleaning Supplies,,1,outside
2,19,173,Bakery and Bread,,2,outside
2,19,220,Pantry Staples and Packaged Goods,,8,outside
2,19,220,Dairy and Eggs,DE-MIL-009,2,stockout
2,19,220,Dairy and Eggs,,2,outside
2,19,220,Bakery and Bread,,2,outside
2,19,220,Frozen Foods,FF-FVG-009,3,budget
2,19,220,Household and Cleaning Supplies,,1,budget
2,19,220,Alcoholic Beverages,,1,budget
2,19,220,Beverages (Non-Alcoholic),,3,budget
3,1,122,Meat and Poultry,,2,closed
3,1,122,Pantry Staples and Packaged Goods,,4,closed
3,1,122,Frozen Foods,,4,closed
3,1,122,Personal Care and Health,,1,closed
3,1,122,Fresh Produce,,6,closed
3,1,122,Snacks and Confectionery,,3,closed
3,5,138,Beverages (Non-Alcoholic),,2,closed
3,5,138,Personal Care and Health,,1,closed
3,5,138,Frozen Foods,,2,closed
3,6,219,Household and Cleaning Supplies,,1,closed
3,6,219,Snacks and Confectionery,,1,closed
3,6,219,Fresh Produce,,5,closed
3,6,219,Frozen Foods,,9,closed
3,6,219,Bakery and Bread,,2,closed
3,6,219,Beverages (Non-Alcoholic),,2,closed
3,6,219,Pantry Staples and Packaged Goods,,4,closed
3,6,219,Meat and Poultry,,1,closed
3,6,219,Dairy and Eggs,,5,closed
3,6,219,Personal Care and Health,,1,closed
3,7,145,Beverages (Non-Alcoholic),,3,closed
3,7,145,Fresh Produce,,6,closed
3,7,145,Snacks and Confectionery,,2,closed
3,7,145,Alcoholic Beverages,,1,closed
3,7,145,Pantry Staples and Packaged Goods,,4,closed
3,7,145,Household and Cleaning Supplies,,1,closed
3,7,145,Personal Care and Health,,1,closed
3,7,145,Seafood,,1,closed
3,7,145,Dairy and Eggs,,4,closed
3,7,145,Bakery and Bread,,3,closed
3,7,145,Meat and Poultry,,2,closed
3,7,145,Frozen Foods,,2,closed
3,7,249,Seafood,,3,closed
3,7,249,Pantry Staples and Packaged Goods,,7,closed
3,7,249,Beverages (Non-Alcoholic),,4,closed
3,7,249,Alcoholic Beverages,,1,closed
3,8,139,Alcoholic Beverages,AB-SPI-008,1,budget
3,8,139,Seafood,,1,budget
3,8,139,Pantry Staples and Packaged Goods,,4,budget
3,8,139,Household and Cleaning Supplies,,1,budget
3,8,139,Frozen Foods,,3,budget
3,8,139,Beverages (Non-Alcoholic),,2,budget
3,8,139,Bakery and Bread,,2,budget
3,9,4,Beverages (Non-Alcoholic),,5,outside
3,9,4,Fresh Produce,,3,outside
3,9,108,Pantry Staples and Packaged Goods,,2,outside
3,9,151,Frozen Foods,,3,outside
3,9,151,Meat and Poultry,,3,outside
3,9,151,Pantry Staples and Packaged Goods,,4,outside
3,9,151,Snacks and Confectionery,SC-CHO-012,1,budget
3,9,151,Dairy and Eggs,,2,budget
3,9,151,Seafood,,1,budget
3,9,151,Alcoholic Beverages,,1,budget
3,9,151,Personal Care and Health,,1,budget
3,9,175,Frozen Foods,,8,outside
3,9,175,Pantry Staples and Packaged Goods,,5,outside
3,9,175,Seafood,,1,outside
3,9,216,Beverages (Non-Alcoholic),,2,outside
3,9,216,Fresh Produce,,6,outside
3,9,216,Pantry Staples and Packaged Goods,,2,outside
3,9,216,Frozen Foods,,4,outside
3,10,37,Snacks and Confectionery,,2,outside
3,10,37,Bakery and Bread,,5,outside
3,10,37,Fresh Produce,FP-HER-008,1,stockout
3,10,37,Fresh Produce,FP-VEG-007,1,budget
3,10,37,Seafood,,1,budget
3,10,37,Alcoholic Beverages,,1,budget
3,10,37,Beverages (Non-Alcoholic),,2,budget
3,10,37,Frozen Foods,,1,budget
3,10,37,Dairy and Eggs,,3,budget
3,10,79,Fresh Produce,,5,outside
3,10,79,Seafood,,1,outside
3,10,79,Meat and Poultry,,2,outside
3,10,79,Dairy and Eggs,,8,outside
3,10,79,Household and Cleaning Supplies,,1,outside
3,10,79,Bakery and Bread,,4,outside
3,10,104,Meat and Poultry,,2,outside
3,10,132,Frozen Foods,,5,outside
3,10,132,Seafood,,1,outside
3,10,132,Bakery and Bread,BB-PAS-008,5,stockout
3,10,132,Bakery and Bread,BB-PAS-007,5,budget
3,10,225,Dairy and Eggs,,4,outside
3,10,225,Frozen Foods,,1,outside
3,11,20,Meat and Poultry,,2,outside
3,11,20,Bakery and Bread,,5,outside
3,11,34,Seafood,,1,outside
3,11,34,Pantry Staples and Packaged Goods,,4,outside
3,11,131,Meat and Poultry,MP-CHI-007,1,budget
3,11,131,Beverages (Non-Alcoholic),,3,budget
3,11,131,Household and Cleaning Supplies,,1,budget
3,11,131,Dairy and Eggs,,9,budget
3,11,231,Dairy and Eggs,,5,outside
3,11,231,Frozen Foods,,3,outside
3,12,98,Dairy and Eggs,,4,outside
3,12,98,Pantry Staples and Packaged Goods,,2,outside
3,12,98,Snacks and Confectionery,,1,outside
3,13,176,Fresh Produce,,3,outside
3,14,30,Pantry Staples and Packaged Goods,,2,outside
3,14,30,Beverages (Non-Alcoholic),,1,outside
3,14,30,Seafood,,1,outside
3,14,30,Dairy and Eggs,,3,outside
3,14,30,Fresh Produce,,2,outside
3,14,188,Frozen Foods,,9,outside
3,14,188,Household and Cleaning Supplies,,1,outside
3,14,188,Snacks and Confectionery,SC-NUT-010,1,budget
3,14,188,Personal Care and Health,,1,budget
3,14,188,Pantry Staples and Packaged Goods,,3,budget
3,14,188,Seafood,,1,budget
3,14,237,Frozen Foods,,4,outside
3,14,237,Meat and Poultry,MP-PRM-007,5,stockout
3,14,237,Meat and Poultry,,4,outside
3,14,237,Dairy and Eggs,DE-CRE-009,6,stockout
3,14,237,Dairy and Eggs,DE-MIL-007,6,budget
3,14,237,Pantry Staples and Packaged Goods,,6,budget
3,14,237,Bakery and Bread,,5,budget
3,14,237,Beverages (Non-Alcoholic),,2,budget
3,14,237,Alcoholic Beverages,,1,budget
3,15,85,Frozen Foods,,2,outside
3,15,183,Meat and Poultry,,3,outside
3,15,183,Snacks and Confectionery,,1,outside
3,16,16,Frozen Foods,,3,outside
3,16,127,Meat and Poultry,,2,outside
3,16,127,Frozen Foods,,2,outside
3,16,127,Alcoholic Beverages,AB-SPI-001,1,budget
3,16,127,Bakery and Bread,,2,budget
3,16,127,Household and Cleaning Supplies,,1,budget
3,16,127,Dairy and Eggs,,5,budget
3,16,127,Seafood,,1,budget
3,17,41,Fresh Produce,,3,outside
3,17,41,Bakery and Bread,,8,outside
3,17,41,Meat and Poultry,MP-POR-007,3,budget
3,17,41,Dairy and Eggs,,4,budget
3,17,41,Frozen Foods,,3,budget
3,17,56,Beverages (Non-Alcoholic),,2,outside
3,17,56,Snacks and Confectionery,,1,outside
3,17,56,Meat and Poultry,,3,outside
3,17,56,Fresh Produce,,6,outside
3,17,56,Bakery and Bread,BB-BKG-007,2,budget
3,17,56,Frozen Foods,,2,budget
3,17,56,Seafood,,1,budget
3,17,56,Dairy and Eggs,,6,budget
3,17,61,Seafood,,1,outside
3,17,61,Alcoholic Beverages,,1,outside
3,17,61,Personal Care and Health,PH-OTC-012,1,budget
3,17,87,Frozen Foods,,4,outside
3,17,87,Meat and Poultry,,4,outside
3,17,87,Snacks and Confectionery,,1,outside
3,17,87,Seafood,SF-SHL-009,1,budget
3,17,87,Alcoholic Beverages,,1,budget
3,17,120,Meat and Poultry,,3,outside
3,17,120,Dairy and Eggs,,9,outside
3,17,120,Alcoholic Beverages,,1,outside
3,17,120,Personal Care and Health,PH-OTC-012,1,budget
3,17,137,Snacks and Confectionery,,1,outside
3,17,211,Pantry Staples and Packaged Goods,,4,outside
3,17,211,Snacks and Confectionery,,1,outside
3,17,211,Alcoholic Beverages,AB-SPI-006,1,budget
3,17,211,Beverages (Non-Alcoholic),,2,budget
3,17,211,Frozen Foods,,2,budget
3,17,230,Bakery and Bread,BB-FBR-009,4,stockout
3,17,230,Bakery and Bread,BB-PAS-007,4,budget
3,17,230,Fresh Produce,,2,budget
3,17,230,Dairy and Eggs,,5,budget
3,17,230,Personal Care and Health,,1,budget
3,17,230,Frozen Foods,,2,budget
3,18,52,Personal Care and Health,PH-VIT-012,1,budget
3,18,63,Snacks and Confectionery,,2,outside
3,18,63,Frozen Foods,,3,outside
3,18,70,Seafood,,2,outside
3,18,70,Bakery and Bread,,1,outside
3,18,103,Meat and Poultry,,1,outside
3,18,118,Fresh Produce,,2,outside
3,18,159,Frozen Foods,,3,outside
3,18,159,Fresh Produce,FP-VEG-008,1,stockout
3,18,159,Fresh Produce,FP-HER-009,1,budget
3,18,159,Pantry Staples and Packaged Goods,,3,budget
3,18,186,Snacks and Confectionery,,1,outside
3,18,251,Bakery and Bread,BB-FBR-009,1,stockout
3,18,251,Personal Care and Health,,1,outside
3,18,251,Beverages (Non-Alcoholic),,4,outside
3,19,28,Dairy and Eggs,,6,outside
3,19,129,Seafood,,1,outside
3,19,129,Personal Care and Health,PH-VIT-011,1,budget
3,19,129,Snacks and Confectionery,,1,budget
3,19,129,Dairy and Eggs,,9,budget
3,19,223,Dairy and Eggs,DE-MIL-007,4,stockout
3,19,223,Frozen Foods,,3,outside
3,19,223,Snacks and Confectionery,SC-CHO-011,1,budget
3,19,223,Pantry Staples and Packaged Goods,,2,budget
3,19,236,Fresh Produce,,4,outside
3,19,236,Frozen Foods,,4,outside
3,20,45,Alcoholic Beverages,,1,closed
3,20,45,Frozen Foods,,4,closed
3,20,45,Seafood,,1,closed
3,20,45,Fresh Produce,,7,closed
3,20,45,Personal Care and Health,,1,closed
3,20,45,Household and Cleaning Supplies,,2,closed
3,20,172,Seafood,,2,closed
3,20,172,Fresh Produce,,4,closed
3,20,172,Personal Care and Health,,1,closed
3,20,180,Alcoholic Beverages,,1,closed
3,20,180,Frozen Foods,,4,closed
3,20,180,Personal Care and Health,,2,closed
3,20,180,Dairy and Eggs,,26,closed
3,21,11,Pantry Staples and Packaged Goods,,4,closed
4,7,15,Snacks and Confectionery,,1,closed
4,7,15,Bakery and Bread,,6,closed
4,7,15,Beverages (Non-Alcoholic),,2,closed
4,7,15,Meat and Poultry,,3,closed
4,7,15,Personal Care and Health,,1,closed
4,7,15,Fresh Produce,,5,closed
4,7,15,Frozen Foods,,2,closed
4,7,15,Dairy and Eggs,,5,closed
4,7,15,Pantry Staples and Packaged Goods,,1,closed
4,7,81,Alcoholic Beverages,,1,closed
4,7,81,Household and Cleaning Supplies,,1,closed
4,7,81,Seafood,,1,closed
4,7,81,Pantry Staples and Packaged Goods,,16,closed
4,7,81,Bakery and Bread,,5,closed
4,7,81,Beverages (Non-Alcoholic),,4,closed
4,7,81,Dairy and Eggs,,3,closed
4,7,81,Snacks and Confectionery,,1,closed
4,7,81,Fresh Produce,,4,closed
4,7,81,Meat and Poultry,,1,closed
4,7,81,Frozen Foods,,2,closed
4,7,81,Personal Care and Health,,1,closed
4,7,121,Fresh Produce,,8,closed
4,7,121,Personal Care and Health,,1,closed
4,7,121,Alcoholic Beverages,,1,closed
4,7,121,Pantry Staples and Packaged Goods,,11,closed
4,7,121,Frozen Foods,,3,closed
4,7,121,Household and Cleaning Supplies,,1,closed
4,7,121,Dairy and Eggs,,11,closed
4,7,121,Beverages (Non-Alcoholic),,3,closed
4,7,121,Seafood,,1,closed
4,7,121,Snacks and Confectionery,,1,closed
4,7,121,Bakery and Bread,,2,closed
4,7,121,Meat and Poultry,,1,closed
4,8,28,Fresh Produce,FP-VEG-008,5,stockout
4,8,28,Snacks and Confectionery,SC-CHO-012,1,budget
4,8,28,Seafood,,1,budget
4,8,28,Frozen Foods,,1,budget
4,8,28,Dairy and Eggs,,8,budget
4,8,28,Meat and Poultry,,1,budget
4,8,28,Beverages (Non-Alcoholic),,3,budget
4,8,28,Household and Cleaning Supplies,,1,budget
4,8,31,Dairy and Eggs,,15,outside
4,8,31,Bakery and Bread,,8,outside
4,8,31,Pantry Staples and Packaged Goods,,2,outside
4,8,31,Frozen Foods,,7,outside
4,8,31,Meat and Poultry,,2,outside
4,8,31,Alcoholic Beverages,,1,outside
4,8,44,Beverages (Non-Alcoholic),,6,outside
4,8,44,Bakery and Bread,BB-PAS-008,1,stockout
4,8,44,Meat and Poultry,MP-PRM-006,5,budget
4,8,44,Fresh Produce,,6,budget
4,8,44,Pantry Staples and Packaged Goods,,4,budget
4,8,44,Alcoholic Beverages,,1,budget
4,8,133,Seafood,,1,outside
4,8,164,Frozen Foods,FF-FVG-007,10,stockout
4,8,164,Meat and Poultry,,7,outside
4,8,164,Bakery and Bread,,5,outside
4,8,164,Pantry Staples and Packaged Goods,,6,outside
4,8,164,Beverages (Non-Alcoholic),,2,outside
4,8,239,Beverages (Non-Alcoholic),,2,outside
4,8,239,Dairy and Eggs,,2,outside
4,8,239,Frozen Foods,,3,outside
4,9,33,Bakery and Bread,,4,outside
4,9,33,Personal Care and Health,,1,outside
4,9,33,Pantry Staples and Packaged Goods,,6,outside
4,9,33,Meat and Poultry,,3,outside
4,9,33,Frozen Foods,,1,outside
4,9,43,Meat and Poultry,,4,outside
4,9,43,Seafood,,1,outside
4,9,43,Fresh Produce,,4,outside
4,9,43,Household and Cleaning Supplies,HC-CAG-003,1,budget
4,9,43,Beverages (Non-Alcoholic),,2,budget
4,9,43,Pantry Staples and Packaged Goods,,5,budget
4,9,43,Frozen Foods,,1,budget
4,9,43,Personal Care and Health,,1,budget
4,9,192,Meat and Poultry,,4,outside
4,9,192,Bakery and Bread,,5,outside
4,9,192,Pantry Staples and Packaged Goods,,8,outside
4,9,192,Personal Care and Health,PH-OTC-012,1,budget
4,9,192,Alcoholic Beverages,,1,budget
4,9,192,Dairy and Eggs,,11,budget
4,9,192,Seafood,,2,budget
4,9,192,Frozen Foods,,4,budget
4,9,224,Pantry Staples and Packaged Goods,,5,outside
4,9,224,Beverages (Non-Alcoholic),,5,outside
4,9,224,Bakery and Bread,BB-BKG-007,5,stockout
4,9,224,Bakery and Bread,BB-BKG-009,5,budget
4,9,224,Fresh Produce,,6,budget
4,9,224,Frozen Foods,,6,budget
4,9,224,Meat and Poultry,,2,budget
4,9,224,Snacks and Confectionery,,1,budget
4,9,224,Dairy and Eggs,,11,budget
4,9,228,Meat and Poultry,,4,outside
4,9,228,Beverages (Non-Alcoholic),,4,outside
4,9,228,Snacks and Confectionery,SC-CAN-002,1,budget
4,9,228,Dairy and Eggs,,7,budget
4,9,228,Alcoholic Beverages,,1,budget
4,9,228,Bakery and Bread,,4,budget
4,9,228,Fresh Produce,,3,budget
4,9,236,Pantry Staples and Packaged Goods,,9,outside
4,9,236,Meat and Poultry,,4,outside
4,9,236,Personal Care and Health,,1,outside
4,9,236,Seafood,,1,outside
4,9,236,Snacks and Confectionery,,1,outside
4,9,236,Frozen Foods,,3,outside
4,9,236,Bakery and Bread,,2,outside
4,9,254,Bakery and Bread,,6,outside
4,9,254,Fresh Produce,FP-HER-008,4,stockout
4,9,254,Snacks and Confectionery,SC-NUT-003,1,budget
4,9,254,Dairy and Eggs,,9,budget
4,9,254,Seafood,,2,budget
4,9,254,Frozen Foods,,1,budget
4,9,254,Alcoholic Beverages,,1,budget
4,10,3,Seafood,SF-SPR-008,3,stockout
4,10,3,Seafood,,2,outside
4,10,3,Personal Care and Health,PH-WEL-012,1,budget
4,10,3,Alcoholic Beverages,,1,budget
4,10,3,Meat and Poultry,,3,budget
4,10,3,Bakery and Bread,,4,budget
4,10,3,Pantry Staples and Packaged Goods,,4,budget
4,10,6,Bakery and Bread,,6,outside
4,10,6,Frozen Foods,,6,outside
4,10,6,Meat and Poultry,,6,outside
4,10,6,Beverages (Non-Alcoholic),,3,outside
4,10,6,Fresh Produce,,1,outside
4,10,71,Frozen Foods,FF-ICE-009,2,stockout
4,10,71,Seafood,,1,outside
4,10,71,Alcoholic Beverages,AB-SPI-006,1,budget
4,10,71,Beverages (Non-Alcoholic),,5,budget
4,10,71,Snacks and Confectionery,,1,budget
4,10,71,Personal Care and Health,,1,budget
4,10,71,Fresh Produce,,2,budget
4,10,71,Dairy and Eggs,,4,budget
4,10,71,Bakery and Bread,,1,budget
4,10,78,Personal Care and Health,PH-VIT-012,1,budget
4,10,99,Seafood,,1,outside
4,10,99,Snacks and Confectionery,,3,outside
4,10,99,Alcoholic Beverages,,1,outside
4,10,99,Dairy and Eggs,,6,outside
4,10,99,Frozen Foods,FF-DES-009,1,stockout
4,10,99,Meat and Poultry,MP-CHI-007,1,budget
4,10,99,Beverages (Non-Alcoholic),,2,budget
4,10,99,Household and Cleaning Supplies,,1,budget
4,10,111,Bakery and Bread,,10,outside
4,10,111,Pantry Staples and Packaged Goods,,5,outside
4,10,111,Dairy and Eggs,,6,outside
4,10,111,Frozen Foods,,1,outside
4,10,122,Meat and Poultry,,2,outside
4,10,122,Snacks and Confectionery,SC-CHO-012,1,stockout
4,10,122,Snacks and Confectionery,SC-CHO-003,1,budget
4,10,122,Household and Cleaning Supplies,,1,budget
4,10,122,Seafood,,1,budget
4,10,122,Beverages (Non-Alcoholic),,3,budget
4,10,122,Alcoholic Beverages,,1,budget
4,10,122,Bakery and Bread,,4,budget
4,10,122,Dairy and Eggs,,4,budget
4,10,128,Dairy and Eggs,,6,outside
4,10,128,Pantry Staples and Packaged Goods,PP-CNG-004,1,stockout
4,10,178,Meat and Poultry,,1,outside
4,10,178,Seafood,,1,outside
4,10,178,Personal Care and Health,PH-OTC-012,1,budget
4,10,178,Frozen Foods,,2,budget
4,10,178,Alcoholic Beverages,,1,budget
4,10,198,Bakery and Bread,,3,outside
4,10,198,Pantry Staples and Packaged Goods,PP-CNG-007,4,budget
4,10,198,Frozen Foods,,2,budget
4,10,198,Fresh Produce,,3,budget
4,10,198,Seafood,,1,budget
4,10,198,Beverages (Non-Alcoholic),,2,budget
4,10,198,Snacks and Confectionery,,1,budget
4,10,198,Alcoholic Beverages,,1,budget
4,11,16,Fresh Produce,,4,outside
4,11,16,Meat and Poultry,MP-PRM-009,1,stockout
4,11,16,Bakery and Bread,BB-BKG-009,2,stockout
4,11,16,Bakery and Bread,BB-BKG-007,2,budget
4,11,16,Frozen Foods,,3,budget
4,11,16,Snacks and Confectionery,,1,budget
4,11,16,Seafood,,1,budget
4,11,16,Dairy and Eggs,,3,budget
4,11,16,Pantry Staples and Packaged Goods,,4,budget
4,11,16,Household and Cleaning Supplies,,1,budget
4,11,32,Bakery and Bread,,9,outside
4,11,32,Dairy and Eggs,,13,outside
4,11,32,Seafood,,4,outside
4,11,32,Pantry Staples and Packaged Goods,,8,outside
4,11,32,Frozen Foods,,3,outside
4,11,32,Alcoholic Beverages,,1,outside
4,11,32,Meat and Poultry,,2,outside
4,11,72,Bakery and Bread,,2,outside
4,11,72,Seafood,,1,outside
4,11,72,Alcoholic Beverages,,1,outside
4,11,83,Pantry Staples and Packaged Goods,,2,outside
4,11,88,Personal Care and Health,,1,outside
4,11,88,Pantry Staples and Packaged Goods,,2,outside
4,11,88,Household and Cleaning Supplies,HC-DET-005,1,budget
4,11,88,Seafood,,1,budget
4,11,88,Beverages (Non-Alcoholic),,3,budget
4,11,88,Snacks and Confectionery,,1,budget
4,11,112,Dairy and Eggs,,9,outside
4,11,112,Fresh Produce,,3,outside
4,11,112,Meat and Poultry,,8,outside
4,11,112,Seafood,,1,outside
4,11,112,Frozen Foods,,6,outside
4,11,112,Alcoholic Beverages,,1,outside
4,11,139,Alcoholic Beverages,AB-WIN-012,1,budget
4,11,139,Seafood,,1,budget
4,11,152,Dairy and Eggs,,9,outside
4,11,152,Pantry Staples and Packaged Goods,,10,outside
4,11,152,Seafood,,1,outside
4,11,152,Bakery and Bread,,4,outside
4,11,152,Fresh Produce,FP-HER-008,4,stockout
4,11,152,Alcoholic Beverages,AB-SPI-009,1,budget
4,11,172,Seafood,,2,outside
4,11,172,Frozen Foods,,3,outside
4,11,172,Meat and Poultry,MP-POR-007,1,stockout
4,11,172,Alcoholic Beverages,AB-WIN-003,1,budget
4,11,172,Snacks and Confectionery,,1,budget
4,11,172,Dairy and Eggs,,3,budget
4,11,186,Frozen Foods,,4,outside
4,11,186,Pantry Staples and Packaged Goods,,8,outside
4,11,186,Fresh Produce,,1,outside
4,11,186,Meat and Poultry,,1,outside
4,11,186,Dairy and Eggs,DE-CRE-007,2,budget
4,11,186,Seafood,,1,budget
4,11,186,Beverages (Non-Alcoholic),,1,budget
4,11,186,Household and Cleaning Supplies,,1,budget
4,11,240,Seafood,,2,outside
4,11,240,Fresh Produce,,6,outside
4,11,240,Beverages (Non-Alcoholic),,2,outside
4,11,240,Alcoholic Beverages,AB-SPI-009,1,budget
4,11,240,Snacks and Confectionery,,2,budget
4,11,240,Bakery and Bread,,2,budget
4,11,240,Meat and Poultry,,2,budget
4,11,240,Household and Cleaning Supplies,,1,budget
4,11,240,Frozen Foods,,3,budget
4,11,240,Personal Care and Health,,1,budget
4,11,241,Dairy and Eggs,,13,outside
4,11,241,Pantry Staples and Packaged Goods,PP-CNG-004,3,stockout
4,11,241,Pantry Staples and Packaged Goods,PP-CNG-006,3,budget
4,11,241,Alcoholic Beverages,,1,budget
4,11,241,Snacks and Confectionery,,1,budget
4,11,241,Household and Cleaning Supplies,,1,budget
4,11,241,Fresh Produce,,5,budget
4,11,241,Frozen Foods,,4,budget
4,11,250,Frozen Foods,,3,outside
4,11,250,Meat and Poultry,,8,outside
4,11,250,Seafood,,1,outside
4,11,250,Alcoholic Beverages,AB-SPI-006,1,budget
4,11,250,Fresh Produce,,1,budget
4,12,53,Seafood,,4,outside
4,12,53,Frozen Foods,,2,outside
4,12,53,Personal Care and Health,PH-VIT-011,1,budget
4,12,53,Pantry Staples and Packaged Goods,,2,budget
4,12,53,Household and Cleaning Supplies,,1,budget
4,12,53,Beverages (Non-Alcoholic),,7,budget
4,12,74,Frozen Foods,,3,outside
4,12,74,Bakery and Bread,,1,outside
4,12,91,Frozen Foods,,3,outside
4,12,91,Meat and Poultry,,3,outside
4,12,91,Seafood,,2,outside
4,12,91,Bakery and Bread,,5,outside
4,12,91,Pantry Staples and Packaged Goods,,2,outside
4,12,91,Fresh Produce,,4,outside
4,12,91,Dairy and Eggs,,9,outside
4,12,91,Snacks and Confectionery,,1,outside
4,12,143,Bakery and Bread,BB-BKG-009,2,stockout
4,12,143,Seafood,,1,outside
4,12,143,Frozen Foods,,14,outside
4,12,143,Fresh Produce,FP-VEG-008,2,stockout
4,12,143,Fresh Produce,FP-VEG-007,2,budget
4,12,143,Pantry Staples and Packaged Goods,,3,budget
4,12,143,Household and Cleaning Supplies,,1,budget
4,12,143,Alcoholic Beverages,,1,budget
4,12,154,Dairy and Eggs,,6,outside
4,12,154,Seafood,,1,outside
4,12,154,Fresh Produce,,3,outside
4,12,154,Bakery and Bread,BB-BKG-007,6,budget
4,12,154,Beverages (Non-Alcoholic),,3,budget
